ID,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,MSigDB_gene_sets
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,26,-0.8216772567349657,-2.2978347866073103,6.424850937327815e-7,1.0120330013501923e-4,9.460686935784467e-5,371,"tags=46%, list=3%, signal=45%",85236/8349/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,18,-0.8170150354450111,-2.099113250694311,6.726836910383096e-5,0.0040870339114084725,0.003820641054213076,464,"tags=11%, list=3%, signal=11%",388/79784,C2
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE,19,-0.8100765730506523,-2.1099427791563072,3.587597774732321e-5,0.002698104152883589,0.0025222417328799028,464,"tags=16%, list=3%, signal=15%",2064/388/79784,C2
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,30,-0.8035157282697174,-2.3200301650638675,2.7633196250069124e-7,6.093882429773861e-5,5.69668319260853e-5,371,"tags=40%, list=3%, signal=39%",85236/8349/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
REACTOME_DNA_METHYLATION,26,-0.7966139257519279,-2.227744744161784,4.907287482815582e-6,5.35145991395248e-4,5.002651773979611e-4,371,"tags=46%, list=3%, signal=45%",85236/8349/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,52,-0.7946043507726863,-2.5628950759623748,4.281933155487365e-11,4.5527654275719407e-8,4.2560161916515206e-8,464,"tags=25%, list=3%, signal=24%",388/8338/2810/8355/8357/8294/8970/8341/8339/3017/8365/8334/79784,C2
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS,16,-0.7927680285982988,-1.9822335973705134,5.894054372651587e-4,0.02218355154591788,0.020737627727531485,343,"tags=12%, list=2%, signal=12%",668/4286,C2
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,29,-0.7889581326991004,-2.258802665822884,4.594354972259438e-6,5.14205044658405e-4,4.8068916150204705e-4,1213,"tags=45%, list=8%, signal=41%",85236/8349/23378/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,34,-0.7872215738490708,-2.3362915043625168,3.295539522332443e-7,6.093882429773861e-5,5.69668319260853e-5,1213,"tags=41%, list=8%, signal=38%",85236/5925/8349/8338/79648/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR,15,-0.7833555190419144,-1.9207258269143919,0.0019404218620863128,0.23380264892852928,0.23186288103490393,2893,"tags=93%, list=20%, signal=74%",8780/23076/117246/28987/161424/705/55720/79050/85395/8568/83732/8602/27340/84946,C5
