ID,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,MSigDB_gene_sets
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,26,-0.821784255837866,-2.2854357407303265,3.0611462442729405e-7,7.556549364537967e-5,7.06649322110366e-5,366,"tags=46%, list=3%, signal=45%",85236/8349/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS,18,-0.8171902546702111,-2.096340991562837,2.4774552154013953e-4,0.012208668840547806,0.011416914181133725,457,"tags=11%, list=3%, signal=11%",388/79784,C2
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE,19,-0.8102514818439754,-2.103231536353321,1.2785924102749502e-4,0.007525936992701722,0.0070378661179608,457,"tags=16%, list=3%, signal=15%",2064/388/79784,C2
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,30,-0.8036246505247189,-2.3059734832743235,2.602657857913326e-7,7.35337600122445e-5,6.876496024592052e-5,366,"tags=40%, list=3%, signal=39%",85236/8349/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
KERLEY_RESPONSE_TO_CISPLATIN_UP,39,-0.7980547345895567,-2.421730522891631,4.9661325453051584e-8,2.1046469727003264e-5,1.9681567403235707e-5,1014,"tags=46%, list=7%, signal=43%",10544/4000/27244/8870/8493/57103/9263/7832/55332/23612/8061/10769/1263/857/1026/5054/9518/301,C2
REACTOME_DNA_METHYLATION,26,-0.7967222398295193,-2.2157366357482866,2.2577123765675455e-6,2.7616949418599756e-4,2.5825939385764907e-4,366,"tags=46%, list=3%, signal=45%",85236/8349/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,52,-0.7947877552480751,-2.54951796930361,9.945907515406813e-11,1.0537689012573519e-7,9.854300472501752e-8,457,"tags=25%, list=3%, signal=24%",388/8338/2810/8355/8357/8294/8970/8341/8339/3017/8365/8334/79784,C2
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS,16,-0.7928857757850992,-1.9743907933425844,8.428304445014475e-4,0.030578246618496643,0.028595191008330606,338,"tags=12%, list=2%, signal=12%",668/4286,C2
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION,29,-0.7890553757065262,-2.2467229408028313,2.077680339946633e-6,2.6891318840735056e-4,2.5147367287292285e-4,1200,"tags=45%, list=8%, signal=41%",85236/8349/23378/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
REACTOME_RHO_GTPASES_ACTIVATE_CIT,17,-0.7834212174303359,-1.980310106958537,9.00191290649263e-4,0.03205891335942501,0.029979833784117428,457,"tags=12%, list=3%, signal=11%",388/79784,C2
GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR,15,-0.7824448596061016,-1.927510089730703,0.0015172862252086268,0.20385021414608495,0.20118091430544016,2878,"tags=93%, list=20%, signal=74%",8780/23076/117246/28987/161424/705/55720/79050/85395/8568/83732/8602/27340/84946,C5
NEWMAN_ERCC6_TARGETS_UP,16,-0.7823556525175135,-1.9481693891161087,0.0010626992561105207,0.035743805138066555,0.03342575354432841,733,"tags=31%, list=5%, signal=30%",137075/26872/2171/84803/7130,C2
REACTOME_RHO_GTPASES_ACTIVATE_PAKS,19,-0.7820822262119285,-2.030110452185618,6.230529595015577e-4,0.024224756351996345,0.022653736287043598,2,"tags=11%, list=0%, signal=11%",4771/79784,C2
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA,34,-0.782018774974181,-2.3039517845952666,7.458394086663626e-7,1.3846069264653667e-4,1.2948126172082427e-4,366,"tags=35%, list=3%, signal=34%",85236/8349/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
GOBP_REGULATION_OF_WATER_LOSS_VIA_SKIN,17,-0.7816764801354796,-1.978610642170845,8.689738552213994e-4,0.1537659834056403,0.15175250739963952,329,"tags=29%, list=2%, signal=29%",4233/2810/79152/57822/239,C5
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,33,-0.7801329747677922,-2.283498234540147,7.423467635410231e-7,1.3846069264653667e-4,1.2948126172082427e-4,1200,"tags=39%, list=8%, signal=36%",85236/5925/8349/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
ALONSO_METASTASIS_NEURAL_UP,16,-0.7725948794770463,-1.9238637690437566,0.0014291472754589761,0.04420967995178935,0.041342600784502845,8,"tags=25%, list=0%, signal=25%",5376/6281/4286/2012,C2
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION,37,-0.7692757447974589,-2.3063050058894126,1.0614926861931492e-6,1.6661503718839134e-4,1.5580974516636286e-4,366,"tags=32%, list=3%, signal=32%",85236/8349/8338/8355/8357/8294/8970/8341/8339/3017/8365/8334,C2
AMUNDSON_DNA_DAMAGE_RESPONSE_TP53,16,-0.7678973609363443,-1.912166324542202,0.0017955952948074316,0.05176689019995847,0.04840971202971701,1560,"tags=56%, list=11%, signal=50%",1509/6768/8493/577/3976/7832/23612/8744/1026,C2
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING,23,-0.7626853535709447,-2.0669662860881015,1.6244906092277938e-4,0.00871467240747771,0.00814950985175569,1343,"tags=17%, list=9%, signal=16%",2064/4233/388/79784,C2
WP_NAD_METABOLISM,15,-0.7610910156173717,-1.865426042744991,0.0036542112993945474,0.08849455706762338,0.08275552205846902,1069,"tags=33%, list=8%, signal=31%",51548/64802/23409/349565/4907,C2
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE,26,-0.7600230991817405,-2.1136739263513924,2.4800085947033087e-5,0.0019310264530400473,0.0018057958311258485,366,"tags=38%, list=3%, signal=38%",85236/8349/8338/8294/8970/8341/8339/3017/8365/8334,C2
