NAME	TITLE	SCORE	
XIST	X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810]	5.0	
COL22A1	collagen type XXII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22989]	5.0	
LINC00648	long intergenic non-protein coding RNA 648 [Source:HGNC Symbol;Acc:HGNC:44302]	5.0	
MIR924HG	MIR924 host gene [Source:HGNC Symbol;Acc:HGNC:44332]	5.0	
TUBBP5	tubulin beta pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:23674]	5.0	
SCUBE3	signal peptide, CUB domain and EGF like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:13655]	5.0	
LINC00654	long intergenic non-protein coding RNA 654 [Source:HGNC Symbol;Acc:HGNC:27154]	5.0	
LINC01515	long intergenic non-protein coding RNA 1515 [Source:HGNC Symbol;Acc:HGNC:51210]	5.0	
FAM86B2	family with sequence similarity 86 member B2 [Source:HGNC Symbol;Acc:HGNC:32222]	5.0	
PDGFRL	platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]	4.680729	
TBC1D3L	TBC1 domain family member 3L [Source:HGNC Symbol;Acc:HGNC:51246]	4.579851	
CYP4F22	cytochrome P450 family 4 subfamily F member 22 [Source:HGNC Symbol;Acc:HGNC:26820]	4.4667463	
CNTN4	contactin 4 [Source:HGNC Symbol;Acc:HGNC:2174]	4.444626	
LHX5-AS1	LHX5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49570]	4.35162	
IRX5	iroquois homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14361]	4.094348	
GREB1L	GREB1 like retinoic acid receptor coactivator [Source:HGNC Symbol;Acc:HGNC:31042]	4.061639	
FAM86B1	family with sequence similarity 86 member B1 [Source:HGNC Symbol;Acc:HGNC:28268]	4.0355997	
DAZL	deleted in azoospermia like [Source:HGNC Symbol;Acc:HGNC:2685]	3.9999444	
RNF212	ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]	3.838234	
RASAL3	RAS protein activator like 3 [Source:HGNC Symbol;Acc:HGNC:26129]	3.619989	
NKAPL	NFKB activating protein like [Source:HGNC Symbol;Acc:HGNC:21584]	3.5670168	
CARNS1	carnosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:29268]	3.5418093	
SDR42E1	short chain dehydrogenase/reductase family 42E, member 1 [Source:HGNC Symbol;Acc:HGNC:29834]	3.527174	
PCDHGA7	protocadherin gamma subfamily A, 7 [Source:HGNC Symbol;Acc:HGNC:8705]	3.5097888	
ZFHX4	zinc finger homeobox 4 [Source:HGNC Symbol;Acc:HGNC:30939]	3.4787831	
ZNF726	zinc finger protein 726 [Source:HGNC Symbol;Acc:HGNC:32462]	3.2970686	
ALG10B	ALG10 alpha-1,2-glucosyltransferase B [Source:HGNC Symbol;Acc:HGNC:31088]	3.2629402	
ZNF300P1	zinc finger protein 300 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:27032]	3.2607324	
CYP26A1	cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]	3.223558	
LHX5	LIM homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14216]	3.1821678	
MIR4458HG	MIR4458 host gene [Source:HGNC Symbol;Acc:HGNC:49008]	3.1720262	
TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	3.02368	
LINC03069	long intergenic non-protein coding RNA 3069 [Source:HGNC Symbol;Acc:HGNC:56641]	2.9238353	
FEZF1-AS1	FEZF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41001]	2.8881133	
PURPL	p53 upregulated regulator of p53 levels [Source:HGNC Symbol;Acc:HGNC:48995]	2.8865492	
MT-TL1	mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490]	2.8806844	
ADGRD1	adhesion G protein-coupled receptor D1 [Source:HGNC Symbol;Acc:HGNC:19893]	2.8422346	
HMSD	histocompatibility minor serpin domain containing [Source:HGNC Symbol;Acc:HGNC:23037]	2.817115	
LINC00992	long intergenic non-protein coding RNA 992 [Source:HGNC Symbol;Acc:HGNC:48943]	2.806587	
KCNIP1	potassium voltage-gated channel interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:15521]	2.6646917	
SLC5A12	solute carrier family 5 member 12 [Source:HGNC Symbol;Acc:HGNC:28750]	2.6616714	
WDR97	WD repeat domain 97 [Source:HGNC Symbol;Acc:HGNC:26959]	2.6575744	
DUSP26	dual specificity phosphatase 26 [Source:HGNC Symbol;Acc:HGNC:28161]	2.6390932	
RBM46	RNA binding motif protein 46 [Source:HGNC Symbol;Acc:HGNC:28401]	2.5933022	
ERBB4	erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]	2.5719526	
SPAG4	sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]	2.5463011	
PADI3	peptidyl arginine deiminase 3 [Source:HGNC Symbol;Acc:HGNC:18337]	2.5251505	
TPTEP1	TPTE pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43648]	2.5233755	
TMPRSS9	transmembrane serine protease 9 [Source:HGNC Symbol;Acc:HGNC:30079]	2.5222747	
LGI4	leucine rich repeat LGI family member 4 [Source:HGNC Symbol;Acc:HGNC:18712]	2.5195193	
HMX2	H6 family homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5018]	2.5108032	
DNAH1	dynein axonemal heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2940]	2.4720867	
CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	2.4443085	
SPTBN5	spectrin beta, non-erythrocytic 5 [Source:HGNC Symbol;Acc:HGNC:15680]	2.4396763	
ASMT	acetylserotonin O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:750]	2.423316	
ZNF566-AS1	ZNF566 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55301]	2.3921647	
GSAP	gamma-secretase activating protein [Source:HGNC Symbol;Acc:HGNC:28042]	2.3824008	
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	2.3458061	
LDB3	LIM domain binding 3 [Source:HGNC Symbol;Acc:HGNC:15710]	2.340916	
EBF4	EBF family member 4 [Source:HGNC Symbol;Acc:HGNC:29278]	2.3336833	
SPARCL1	SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220]	2.3334787	
DDX60L	DExD/H-box 60 like [Source:HGNC Symbol;Acc:HGNC:26429]	2.306872	
ZNF460	zinc finger protein 460 [Source:HGNC Symbol;Acc:HGNC:21628]	2.2814074	
YPEL4	yippee like 4 [Source:HGNC Symbol;Acc:HGNC:18328]	2.2724843	
TSPEAR-AS1	TSPEAR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:1271]	2.272143	
MEIOB	meiosis specific with OB-fold [Source:HGNC Symbol;Acc:HGNC:28569]	2.269437	
PCDHGA3	protocadherin gamma subfamily A, 3 [Source:HGNC Symbol;Acc:HGNC:8701]	2.2543838	
IFI35	interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]	2.2492676	
APLNR	apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]	2.2410023	
BMS1P1	BMS1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23649]	2.23097	
ASPG	asparaginase [Source:HGNC Symbol;Acc:HGNC:20123]	2.2202528	
GMDS-DT	GMDS divergent transcript [Source:HGNC Symbol;Acc:HGNC:48993]	2.2159536	
STAC3	SH3 and cysteine rich domain 3 [Source:HGNC Symbol;Acc:HGNC:28423]	2.1949914	
MIR302A	microRNA 302a [Source:HGNC Symbol;Acc:HGNC:31623]	2.1872218	
