gene_id,logFC_21,logCPM_21,F_21,PValue_21,FDR_21,gene_name,gene_chr,gene_start,gene_end,gene_strand,gene_length,gene_biotype,gene_description,tf_family,logFC_8p,logCPM_8p,F_8p,PValue_8p,FDR_8p
ENSG00000196172,7.857424378,2.311491546,1758.041517,8.68E-16,4.76E-12,ZNF681,19,23739195,23758891,-,6497,protein_coding,zinc finger protein 681 [Source:HGNC Symbol;Acc:HGNC:26457],zf-C2H2,0.587305773,4.524095731,15.60194517,0.001561486,0.016920498
ENSG00000165118,0.99305306,4.600042022,238.7636346,1.35E-09,7.89E-07,C9orf64,9,83938311,83956986,-,2729,protein_coding,chromosome 9 open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:28144],-,0.38501607,4.704707938,14.65222597,0.001975837,0.019931356
ENSG00000139233,-1.043019466,3.79579683,212.6694218,2.70E-09,1.11E-06,LLPH,12,66116555,66130768,-,7993,protein_coding,"LLP homolog, long-term synaptic facilitation factor [Source:HGNC Symbol;Acc:HGNC:28229]",-,-0.367689911,4.632996115,12.01325026,0.003990091,0.031334324
ENSG00000115461,0.968106454,4.418309329,170.8957155,9.96E-09,2.82E-06,IGFBP5,2,216672105,216695525,-,6442,protein_coding,insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474],-,1.405333689,4.039902895,40.44057884,2.23E-05,0.001414454
ENSG00000090339,1.00088461,3.3126404,169.4901543,1.05E-08,2.86E-06,ICAM1,19,10270835,10286615,+,3706,protein_coding,intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344],-,0.817818952,2.426747471,10.58185865,0.006051195,0.041380871
ENSG00000105707,0.814127114,4.418525824,163.8247593,1.28E-08,3.34E-06,HPN,19,35040506,35066571,+,3380,protein_coding,hepsin [Source:HGNC Symbol;Acc:HGNC:5155],-,0.787381783,4.113336335,11.84038406,0.004286699,0.032961542
ENSG00000146700,0.834788515,3.706082431,152.9352742,1.92E-08,4.29E-06,SSC4D,7,76389334,76409695,-,2819,protein_coding,scavenger receptor cysteine rich family member with 4 domains [Source:HGNC Symbol;Acc:HGNC:14461],-,1.178395133,3.874220375,33.70513359,5.35E-05,0.002503302
ENSG00000105289,0.687971343,4.82352915,123.1865404,6.79E-08,1.13E-05,TJP3,19,3708109,3750813,+,4217,protein_coding,tight junction protein 3 [Source:HGNC Symbol;Acc:HGNC:11829],-,0.726549768,4.811719715,9.891525496,0.007911701,0.048964233
ENSG00000138161,0.890560727,4.363343673,109.4471732,1.34E-07,1.87E-05,CUZD1,10,122832149,122850793,-,3464,protein_coding,CUB and zona pellucida like domains 1 [Source:HGNC Symbol;Acc:HGNC:17937],-,2.108087263,4.245783607,43.2642978,2.32E-05,0.001454983
ENSG00000009950,0.837054877,2.806886898,95.2035884,2.96E-07,3.22E-05,MLXIPL,7,73593194,73624543,-,4815,protein_coding,MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744],bHLH,1.089082895,3.208592374,16.72845161,0.001212974,0.014322611
